GEOID,INVESTPER,INVESTPER_A,disadvantaged,RISK_SCORE,TotPop,CIscore,Ozone,PM2_5,PM2_5_P,DieselPM,DieselPM_P,Pesticide,PesticideP,Tox_Rel,Tox_Rel_P,Traffic,TrafficP,DrinkWat,DrinkWatP,Lead,Lead_P,Cleanup,CleanupP,GWThreat,GWThreatP,HazWaste,HazWasteP,ImpWatBod,ImpWatBodP,SolWaste,SolWasteP,PollBurd,PolBurdSc,PolBurdP,Asthma,AsthmaP,LowBirtWt,LowBirWP,Cardiovas,CardiovasP,Educatn,EducatP,Ling_Isol,Ling_IsolP,Poverty,PovertyP,Unempl,UnemplP,HousBurd,HousBurdP,Elderly65,Hispanic,White,AfricanAm,NativeAm,OtherMult,AAPI
6075017101,3.618166884,4.151135258,0,15.69352985,4113,7.030084403,0.03190818,8.521515042,23.34785314,0.24841235,69.71997511,0,0,340.9426626,44.16104026,368.7658853,12.2125,258.7894396,15.03684276,60.43806149,66.41461878,0,0,0.75,4.416403785,0.175,30.16545334,0,0,0,0,22.07857361,2.695789452,4.86621033,46.92,51.93170489,5.09,54.84988453,8.78,19.35443669,1.3,3.113135915,0,0,7.5,5.087939698,3,17.11348256,10.5,15.85551331,10.6978,2.1152,76.9268,4.5222,0,5.3489,11.0868
6013379000,3.61866314,4.155881348,1,28.35378795,7003,55.31690757,0.02937227,8.990824583,37.14996889,1.020261206,98.3074051,0,0,2905.460042,84.44611153,748.040861,40.2375,110.4123824,4.208817285,86.17254815,94.15248897,54.65,96.69652856,31.35,80.74049477,4.84,97.71012574,10,82.96934061,0,0,54.00994306,6.59460332,80.34847542,133.4,97.60717846,8.31,97.57505774,13.67,58.34995015,38.6,88.83826879,12.7,70.52375152,52.8,85.01256281,6,57.24882874,26.8,84.46134347,8.582,63.9297,3.2415,24.0611,0.1,7.2255,1.4422
6019001100,3.62048996,4.173399506,1,21.51474026,2780,93.18356973,0.060311,13.90634758,97.71001867,1.122711827,98.71810828,1.001924749,42.89655172,4859.094604,92.19804951,1037.095744,60.375,733.946935,84.38865992,89.60085405,96.47132955,70.5,98.18962299,54.25,91.16719243,3.1,96.3070814,0,0,6,79.95418099,78.97740371,9.643125306,99.9253267,129.54,97.22083749,7.8,95.62483962,21.47,92.24825523,44.5,93.22956214,16,79.37474624,76,98.91959799,12.8,93.83133784,30.3,91.03929024,8.741,74.0288,2.518,19.7842,0.0719,2.6259,0.9712
6037573201,3.622321021,4.191032426,1,23.88979811,4597,62.69293907,0.03975537,11.70913172,66.67081518,0.189700245,60.12445551,0,0,14146.06673,98.79969992,835.0445932,46.675,339.0441176,34.7321094,86.13581447,94.13988658,4.5,40.83613289,17.25,63.57297028,0.935,84.19589676,10,82.96934061,10,91.04238259,59.34013688,7.245418926,89.95644057,91,90.00498504,7.43,93.35386195,18.54,82.7891326,40,89.97722096,18.1,83.55663825,52.2,84.39698492,4.7,40.60385216,31,92.0278834,7.6137,62.8671,5.2643,8.2663,0,0.8919,22.7105
6075021800,3.623685565,4.204221274,0,18.0111931,4095,4.59219652,0.03190818,8.616606721,26.78282514,0.691260955,95.15868077,0,0,302.9466604,41.92298075,521.8071333,22.6625,258.7894396,15.03684276,54.79679639,58.34908633,9,58.17469205,7.25,38.02091981,0.245,41.81336863,0,0,0.1,2.520045819,31.56005869,3.853476898,21.04542626,26.68,19.45413759,2.81,7.05671029,6.81,6.754735793,2.6,8.985067072,1.5,11.27351468,8.3,6.733668342,3.8,28.20145757,7,4.245880862,14.5543,15.9219,65.0061,3.2723,0,4.1026,11.6972
6071001503,3.626945834,4.235901322,1,17.79695529,4126,46.04563196,0.06236471,13.9100682,97.72246422,0.158757185,53.44119477,0.004561402,9.862068966,1020.465007,64.04101025,743.9703572,39.8375,796.6465081,93.26839016,87.78425005,95.31190926,0.3,4.180664427,1.5,10.64253694,0.125,21.95896757,0,0,0.5,22.08476518,49.10646041,5.995889062,68.08960797,51.53,58.56181456,4.6,41.14703618,16.81,75.22432702,55.9,98.53201721,28.5,94.93842198,66.4,95.74120603,9.9,85.82769391,22.9,73.72623574,4.8958,88.4392,5.5744,1.6966,0.2666,1.43,2.5933
6019002300,3.627244241,4.238812841,1,17.11227759,3559,56.48444646,0.060311,13.71731851,97.03795893,0.429199354,86.50902302,0,0,1467.510661,72.65566392,961.6150703,55.75,733.946935,84.38865992,87.56383862,95.18588532,0.9,11.83277342,0,0,0.335,54.63931171,0,0,0,0,52.26512698,6.381561623,76.17921593,110.76,95.00249252,8.41,97.84449577,15.01,66.32602193,30.6,80.86560364,7.8,52.51048856,72.4,98.22864322,16.1,97.68349818,31,92.0278834,8.8227,63.3886,31.3852,2.9503,0.9553,0.871,0.4496
6099000602,3.630410571,4.26982987,1,17.87181349,3111,44.00912244,0.05334987,11.26950671,57.63534536,0.565011198,91.87305538,23.62245078,67.4137931,271.6496684,39.80995249,1195.146087,68.5625,891.9219689,97.77694517,39.55800209,36.52173913,13,71.63120567,30,79.6945044,0.045,5.572468564,0,0,5,75.67010309,59.58080613,7.274804593,90.29247044,67.58,76.83200399,6.03,75.76340775,14.5,63.45962114,22.6,69.37484181,2.6,20.58465286,21.9,38.1281407,7.9,74.7397189,11.4,20.2661597,9.5468,47.6374,37.0299,5.143,0,2.7965,7.3931
6037267800,3.630488761,4.270598674,0,25.1450162,2666,26.42908902,0.04716458,11.79089062,69.43372744,0.235224701,68.03982576,0,0,1694.884704,75.75643911,2468.370937,92.325,440.6380342,52.71637317,56.20010175,60.30245747,0.9,11.83277342,25.3,75.16187946,0.41,62.475182,0,0,2.5,59.17525773,53.00260654,6.471607731,78.10827629,31.13,27.05633101,4.98,51.82191429,12.56,50.89730808,4.2,17.24879777,-999,-999,18.1,29.7361809,3,17.11348256,24.2,77.82002535,18.0795,9.2273,65.2288,0.6002,0,4.7262,20.2176
6037535605,3.633474121,4.300056098,1,21.46206266,4440,50.31391531,0.04490202,12.06007558,81.7921593,0.294218187,75.69383945,0,0,6292.386556,94.44861215,703.734614,36.375,671.7240527,73.99775197,88.63757972,95.85381222,6.3,46.69652856,4.5,27.76025237,0.455,66.08868299,0,0,0,0,50.88209172,6.212693293,72.52022402,52.53,59.55882353,4.99,52.01437003,18.39,82.29062812,57.7,98.87370286,35.4,97.71281635,45.5,76.8718593,13.4,94.93753254,29.2,89.21419518,9.0766,99.3694,0.6306,0,0,0,0
